id,transaction_id,item,item_category,quantity,price_per_unit,total_spent,spending_category,payment_method,payment_type,location,transaction_date,transaction_month,transaction_day,day_type
1,TXN_1961373,Coffee,Drink,2,2,4.00,Low,"Credit Card",Electronic,Takeaway,2023-09-08,September,Friday,Weekday
2,TXN_4977031,Cake,Dessert,4,3,12.00,Medium,Cash,Cash,In-store,2023-05-16,May,Tuesday,Weekday
3,TXN_4271903,Cookie,Dessert,4,1,4.00,Low,"Credit Card",Electronic,In-store,2023-07-19,July,Wednesday,Weekday
4,TXN_7034554,Salad,Food,2,5,10.00,Medium,Unknown,Unknown,Unknown,2023-04-27,April,Thursday,Weekday
5,TXN_3160411,Coffee,Drink,2,2,4.00,Low,"Digital Wallet",Electronic,In-store,2023-06-11,June,Sunday,Weekend
6,TXN_3085509,Coffee,Drink,4,2,8.00,Medium,"Digital Wallet",Electronic,In-store,2023-04-15,April,Saturday,Weekend
7,TXN_2602893,Smoothie,Drink,5,4,20.00,High,"Credit Card",Electronic,Unknown,2023-03-31,March,Friday,Weekday
8,TXN_4433211,Unknown,Unknown,3,3,9.00,Medium,Unknown,Unknown,Takeaway,2023-10-06,October,Friday,Weekday
9,TXN_9999113,Juice,Drink,4,3,12.00,Medium,Cash,Cash,Takeaway,2023-05-27,May,Saturday,Weekend
10,TXN_8779771,Coffee,Drink,4,2,8.00,Medium,Cash,Cash,In-store,2023-07-25,July,Tuesday,Weekday
11,TXN_9517146,Unknown,Unknown,5,5,25.00,High,Cash,Cash,Takeaway,2023-10-30,October,Monday,Weekday
12,TXN_6699534,Sandwich,Food,4,4,16.00,High,Cash,Cash,Unknown,2023-10-28,October,Saturday,Weekend
13,TXN_4717867,Unknown,Unknown,5,3,15.00,High,Unknown,Unknown,Takeaway,2023-07-28,July,Friday,Weekday
14,TXN_1621920,Salad,Food,3,5,15.00,High,Unknown,Unknown,Takeaway,2023-10-28,October,Saturday,Weekend
15,TXN_2064365,Sandwich,Food,5,4,20.00,High,Unknown,Unknown,In-store,2023-12-31,December,Sunday,Weekend
16,TXN_3808639,Juice,Drink,2,3,6.00,Medium,"Digital Wallet",Electronic,Takeaway,2023-12-15,December,Friday,Weekday
18,TXN_2548360,Salad,Food,5,5,25.00,High,Cash,Cash,Takeaway,2023-11-07,November,Tuesday,Weekday
20,TXN_6955416,Salad,Food,4,5,20.00,High,Unknown,Unknown,In-store,2023-02-25,February,Saturday,Weekend
21,TXN_3775339,Cookie,Dessert,3,1,3.00,Low,"Credit Card",Electronic,Unknown,2023-04-03,April,Monday,Weekday
22,TXN_7619095,Sandwich,Food,2,4,8.00,Medium,Cash,Cash,In-store,2023-05-03,May,Wednesday,Weekday
23,TXN_9547091,Cookie,Dessert,3,1,3.00,Low,"Credit Card",Electronic,Unknown,2023-10-08,October,Sunday,Weekend
24,TXN_4358673,Cookie,Dessert,5,1,5.00,Medium,"Digital Wallet",Electronic,Takeaway,2023-12-28,December,Thursday,Weekday
25,TXN_4174591,Tea,Drink,4,1.5,6.00,Medium,"Digital Wallet",Electronic,Unknown,2023-08-30,August,Wednesday,Weekday
26,TXN_3398520,Sandwich,Food,1,4,4.00,Low,Unknown,Unknown,In-store,2023-02-03,February,Friday,Weekday
27,TXN_6171384,Smoothie,Drink,2,4,8.00,Medium,"Credit Card",Electronic,Unknown,2023-09-12,September,Tuesday,Weekday
28,TXN_2530938,Smoothie,Drink,5,4,20.00,High,Unknown,Unknown,Takeaway,2023-04-27,April,Thursday,Weekday
29,TXN_3314971,Juice,Drink,3,3,9.00,Medium,"Digital Wallet",Electronic,Unknown,2023-05-04,May,Thursday,Weekday
30,TXN_3092382,Coffee,Drink,5,2,10.00,Medium,"Digital Wallet",Electronic,Unknown,2023-02-21,February,Tuesday,Weekday
32,TXN_1535311,Juice,Drink,3,3,9.00,Medium,Cash,Cash,Unknown,2023-03-16,March,Thursday,Weekday
33,TXN_4368416,Salad,Food,2,5,10.00,Medium,"Credit Card",Electronic,Takeaway,2023-02-24,February,Friday,Weekday
34,TXN_9437049,Cookie,Dessert,5,1,5.00,Medium,Unknown,Unknown,Takeaway,2023-06-01,June,Thursday,Weekday
35,TXN_9790731,Cake,Dessert,2,3,6.00,Medium,Unknown,Unknown,Unknown,2023-06-02,June,Friday,Weekday
36,TXN_9339456,Coffee,Drink,3,2,6.00,Medium,Unknown,Unknown,Takeaway,2023-03-29,March,Wednesday,Weekday
37,TXN_5179020,Cake,Dessert,2,3,6.00,Medium,Unknown,Unknown,Takeaway,2023-06-18,June,Sunday,Weekend
38,TXN_6258471,Coffee,Drink,5,2,10.00,Medium,"Digital Wallet",Electronic,In-store,2023-09-23,September,Saturday,Weekend
39,TXN_7945375,Juice,Drink,3,3,9.00,Medium,Unknown,Unknown,Unknown,2023-01-14,January,Saturday,Weekend
40,TXN_8915701,Unknown,Unknown,2,1.5,3.00,Low,Unknown,Unknown,In-store,2023-03-21,March,Tuesday,Weekday
41,TXN_4685453,Tea,Drink,4,1.5,6.00,Medium,Cash,Cash,In-store,2023-09-14,September,Thursday,Weekday
42,TXN_2847255,Salad,Food,3,5,15.00,High,"Credit Card",Electronic,In-store,2023-11-15,November,Wednesday,Weekday
43,TXN_9646452,Juice,Drink,5,3,15.00,High,"Credit Card",Electronic,Unknown,2023-09-16,September,Saturday,Weekend
44,TXN_3765707,Sandwich,Food,1,4,4.00,Low,Unknown,Unknown,Unknown,2023-06-10,June,Saturday,Weekend
45,TXN_9096052,Smoothie,Drink,4,4,16.00,High,"Credit Card",Electronic,Takeaway,2023-12-28,December,Thursday,Weekday
46,TXN_6769710,Juice,Drink,2,3,6.00,Medium,Cash,Cash,In-store,2023-02-24,February,Friday,Weekday
47,TXN_5916991,Juice,Drink,2,3,6.00,Medium,"Digital Wallet",Electronic,Takeaway,2023-02-06,February,Monday,Weekday
48,TXN_3407169,Sandwich,Food,2,4,8.00,Medium,Cash,Cash,In-store,2023-03-11,March,Saturday,Weekend
49,TXN_8876618,Cake,Dessert,5,3,15.00,High,Cash,Cash,Unknown,2023-03-25,March,Saturday,Weekend
50,TXN_2277042,Tea,Drink,1,1.5,1.50,Low,Cash,Cash,Unknown,2023-04-08,April,Saturday,Weekend
51,TXN_3709394,Juice,Drink,4,3,12.00,Medium,Cash,Cash,Takeaway,2023-01-15,January,Sunday,Weekend
52,TXN_9273729,Tea,Drink,1,1.5,1.50,Low,Unknown,Unknown,Unknown,2023-12-19,December,Tuesday,Weekday
